id,external_id,annotations,compound_id,creator_id,updater_id,created_at,updated_at
97,LMPK12110002,"Flavones and Flavonols
",604,,,2015-02-23 22:46:12 UTC,2015-02-23 22:46:12 UTC
98,LMPK12110897,"Flavones and Flavonols
",618,,,2015-02-23 22:46:21 UTC,2015-02-23 22:46:21 UTC
99,LMPK12111569,"Flavones and Flavonols
",625,,,2015-02-23 22:46:28 UTC,2015-02-23 22:46:28 UTC
100,CHEBI:28499,"tetrahydroxyflavone
flavonols
",633,,,2015-02-23 22:46:40 UTC,2015-02-23 22:46:40 UTC
101,C05903,"Flavones and Flavonols
flavonols
",633,,,2015-02-23 22:46:40 UTC,2015-02-23 22:46:40 UTC
102,LMPK12110003,"Flavones and Flavonols
",633,,,2015-02-23 22:46:40 UTC,2015-02-23 22:46:40 UTC
103,LMPK12110918,"Flavones and Flavonols
",640,,,2015-02-23 22:46:51 UTC,2015-02-23 22:46:51 UTC
104,LMPK12110917,"Flavones and Flavonols
",641,,,2015-02-23 22:46:52 UTC,2015-02-23 22:46:52 UTC
105,LMPK12110895,"Flavones and Flavonols
",642,,,2015-02-23 22:46:53 UTC,2015-02-23 22:46:53 UTC
106,LMPK12111017,"Flavones and Flavonols
",647,,,2015-02-23 22:46:58 UTC,2015-02-23 22:46:58 UTC
107,CHEBI:69094,"dihydroxyflavone
dimethoxyflavone
",651,,,2015-02-23 22:47:01 UTC,2015-02-23 22:47:01 UTC
108,C17765,"Isoflavonoids
",651,,,2015-02-23 22:47:01 UTC,2015-02-23 22:47:01 UTC
109,LMPK12050069,"Isoflavonoids
",651,,,2015-02-23 22:47:01 UTC,2015-02-23 22:47:01 UTC
110,LMPK12113241,"Flavones and Flavonols
",652,,,2015-02-23 22:47:03 UTC,2015-02-23 22:47:03 UTC
111,CPD-3061,"a flavanone
",655,,,2015-02-23 22:47:08 UTC,2015-02-23 22:47:08 UTC
112,CHEBI:5262,"trihydroxyflavone
7-hydroxyflavonol
",657,,,2015-02-23 22:47:12 UTC,2015-02-23 22:47:12 UTC
113,C10044,"Flavones and Flavonols
",657,,,2015-02-23 22:47:12 UTC,2015-02-23 22:47:12 UTC
114,LMPK12111653,"Flavones and Flavonols
",657,,,2015-02-23 22:47:12 UTC,2015-02-23 22:47:12 UTC
115,C11577,"flavonols
",658,,,2015-02-23 22:47:13 UTC,2015-02-23 22:47:13 UTC
116,LMPK12111654,"Flavones and Flavonols
",658,,,2015-02-23 22:47:13 UTC,2015-02-23 22:47:13 UTC
117,CHEBI:30778,"trihydroxybenzoic acid
",662,,,2015-02-23 22:47:18 UTC,2015-02-23 22:47:18 UTC
118,C01424,"Gallotannins
",662,,,2015-02-23 22:47:18 UTC,2015-02-23 22:47:18 UTC
119,LMPK12050074,"Isoflavonoids
",674,,,2015-02-23 22:47:29 UTC,2015-02-23 22:47:29 UTC
120,LMPK12050004,"Isoflavonoids
",675,,,2015-02-23 22:47:30 UTC,2015-02-23 22:47:30 UTC
121,CHEBI:17846,"naringenin
",678,,,2015-02-23 22:47:37 UTC,2015-02-23 22:47:37 UTC
122,C00509,"Flavanones
",678,,,2015-02-23 22:47:37 UTC,2015-02-23 22:47:37 UTC
123,LMPK12140001,"Flavanones
",678,,,2015-02-23 22:47:37 UTC,2015-02-23 22:47:37 UTC
124,C10112,"flavones
",683,,,2015-02-23 22:47:44 UTC,2015-02-23 22:47:44 UTC
125,LMPK12111468,"Flavones and Flavonols
",683,,,2015-02-23 22:47:44 UTC,2015-02-23 22:47:44 UTC
126,CHEBI:28412,"3'-hydroxyflavanones
tetrahydroxyflavanone
",688,,,2015-02-23 22:47:49 UTC,2015-02-23 22:47:49 UTC
127,C05631,"Flavanones
",688,,,2015-02-23 22:47:49 UTC,2015-02-23 22:47:49 UTC
128,LMPK12140002,"Flavanones
",688,,,2015-02-23 22:47:49 UTC,2015-02-23 22:47:49 UTC
129,LMPK12111478,"Flavones and Flavonols
",690,,,2015-02-23 22:47:54 UTC,2015-02-23 22:47:54 UTC
